District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,42.00,14.00,27.00,22.00,28.00,23.00
2,Barishal,850.00,370.00,851.00,398.00,698.00,319.00
3,Bhola,81.00,53.00,79.80,42.00,85.00,41.00
4,Jhallokati,270.00,102.00,267.00,103.00,344.00,133.00
5,Patuakhali,1248.00,348.00,1255.00,353.00,1256.00,354.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,2491.00,887.00,2479.80,918.00,2411.00,870.00
7,Bandarban,7.00,4.00,7.50,3.79,7.40,3.74
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,27.00,9.00,28.00,9.00,23.51,7.02
11,Cumilla,0.00,0.00,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,40.00,18.00,41.00,18.50,41.70,23.55
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,13.00,5.00,14.50,5.80,17.50,7.80
16,Noakhali,9.00,1.00,9.85,1.36,10.45,1.49
17,Rangamati,27.00,9.00,0.00,0.00,0.00,0.00
Chattogram Division,None,123.00,46.00,100.85,38.45,100.56,43.60
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,199.30,79.38,188.70,77.99,189.40,79.53
20,Gazipur,37.34,18.82,35.84,17.99,35.49,17.84
21,Gopalganj,104.05,41.04,97.91,38.27,101.25,40.17
22,Kishoreganj,4.13,1.37,4.15,1.37,2.84,0.94
23,Madaripur,890.47,345.57,485.27,218.91,408.80,184.53
24,Manikganj,5.60,2.29,7.00,3.08,6.80,3.10
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,4.21,1.43,4.18,1.42,4.16,1.41
28,Rajbari,47.00,30.00,59.00,37.35,62.49,37.05
29,Shariatpur,26.00,13.00,30.00,16.00,28.00,15.00
30,Tangail,3.56,1.02,3.91,1.13,3.92,1.41
Dhaka Division,None,1321.66,533.92,915.96,413.51,843.15,380.98
31,Bagerhat,6.70,2.14,9.00,2.57,9.00,2.56
32,Chuadanga,137.00,51.94,129.65,55.66,129.00,55.66
33,Jashore,222.80,99.56,194.97,89.11,194.97,89.11
34,Jhenaidah,81.91,41.92,136.96,76.37,131.56,76.37
35,Khulna,3.30,1.34,3.80,1.54,3.90,1.55
36,Kushtia,140.00,68.00,111.00,57.00,111.00,57.00
37,Magura,251.70,73.39,259.95,78.71,251.70,78.71
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,19.00,7.83,21.00,10.05,21.00,10.05
39,Narail,39.00,17.38,54.00,19.00,56.00,21.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,901.41,363.50,920.33,390.01,972.33,762.56
41,Jamalpur,63.00,27.00,62.00,27.00,67.00,30.00
42,Mymensingh,19.00,10.00,16.00,9.00,16.00,10.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,58.00,40.00,53.00,28.00,50.00,25.00
Mymensingh Division,None,140.00,77.00,131.00,64.00,133.00,65.00
45,Bogura,13.52,5.41,9.80,4.96,9.80,4.96
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,136.25,52.62,59.67,27.71,40.00,23.42
48,Natore,45.00,21.23,45.00,21.45,40.42,22.94
49,Chapai Nawabganj,1788.05,729.13,1575.10,631.49,1463.57,674.00
50,Pabna,165.60,108.00,168.00,112.00,183.25,124.40
51,Rajshahi,3084.20,1788.74,3058.63,1800.35,3038.45,1826.65
52,Sirajganj,45.82,29.34,50.00,33.00,49.62,34.76
Rajshahi Division,None,5278.44,2734.47,4966.20,2630.96,4825.11,2711.13
53,Dinajpur,7.20,2.30,6.00,1.94,5.00,2.00
54,Gaibandha,32.00,18.94,32.00,18.94,35.00,24.00
55,Kurigram,248.45,110.81,251.00,112.26,243.00,112.00
56,Lalmonirhat,12.00,10.49,13.00,11.47,14.00,7.03
57,Nilphamari,0.00,0.00,0.00,0.00,0.00,0.00
58,Panchagar,40.00,11.50,39.00,11.10,37.00,11.00
59,Rangpur,24.00,9.00,25.00,9.00,28.00,13.00
60,Tahkurgaon,85.50,37.88,88.00,39.57,93.00,41.00
Rangpur Division,None,449.15,200.92,454.00,204.28,455.00,210.03
61,Habigonj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,2.00,1.25,1.25,1.33,0.00,0.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,6.00,2.56,2.66,3.96,11.00,4.68
Sylhet Division,None,8.00,3.81,3.91,5.29,11.00,4.68
BANGLADESH,None,10712.66,4846.62,9972.05,4664.50,9751.15,5047.98
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
